"","idmen","maxn"
"1093",1211951109060100,2
"1094",1211951113300100,4
"1095",1212232001000100,1
"1096",1212232017600100,4
"1097",1212232018040100,3
"1098",1212232055140100,1
"1099",1212232066630100,1
"1100",1212232078730100,2
"1101",1212232094370100,3
"1102",1212232095500100,1
"1103",1212232102990100,1
"1104",1212232124040100,4
"1105",1212232124060100,2
"1106",1212303010270100,2
"1107",1212303011670100,1
"1108",1212303030630100,2
"1109",1212303040580100,1
"1110",1212303042000100,1
"1111",1212303042000200,1
"1112",1212303110640100,3
"1113",1212303115750100,1
"1114",1212323020920100,2
"1115",1212323039370100,3
"1116",1212323057530100,3
"1117",1212323058220100,2
"1118",1212323088460100,3
"1119",1212323101420100,4
"1120",1212323126670100,2
"1121",1212356045130100,1
"1122",1212356057590100,3
"1123",1212356095500100,2
"1124",1212356101960100,3
"1125",1212356103840100,4
"1126",1212356108800100,2
"1127",1212379001000100,3
"1128",1212379001000101,1
"1129",1212379020060100,7
"1130",1212379042350100,4
"1131",1212379045130100,3
"1132",1212379095380100,3
"1133",1212379099390100,4
"1134",1212379109060100,1
"1135",1212379109060200,4
"1136",1212379122000100,4
"1137",1212379124060100,1
"1138",1212379125520100,4
"1139",1212380001240100,2
"1140",1212380039370100,3
"1141",1212380073230100,3
"1142",1212380094370100,1
"1143",1212380106580100,2
"1144",1212380106930100,3
"1145",1212380124060100,1
"1146",1212406015750100,3
"1147",1212406017390100,4
"1148",1212406020920100,1
"1149",1212406026420100,2
"1150",1212406113300100,6
